City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,27.99,89,75,6.17,CC,1711935139
1,new norfolk,-42.7826,147.0587,19.4,49,100,1.34,AU,1711935238
2,whitehorse,60.7161,-135.0538,4.43,30,75,9.77,CA,1711935164
3,gaozhou,21.9392,110.8461,29.98,64,4,6.19,CN,1711935239
4,grytviken,-54.2811,-36.5092,-2.86,68,15,1.14,GS,1711935180
5,blackmans bay,-43.0167,147.3167,18.74,77,100,0.89,AU,1711935239
6,waitangi,-43.9535,-176.5597,14.34,93,94,3.58,NZ,1711935239
7,avarua,-21.2078,-159.775,30.03,66,20,3.6,CK,1711935239
8,anadyr,64.75,177.4833,-22.72,69,0,4.0,RU,1711935240
9,adamstown,-25.066,-130.1015,22.95,73,100,15.75,PN,1711935240
10,kindu,-2.95,25.95,21.44,97,100,0.53,CD,1711935240
11,dumai,1.6833,101.45,27.91,87,83,0.93,ID,1711935240
12,russellville,35.2784,-93.1338,21.19,76,100,1.54,US,1711935109
13,bechar,31.6167,-2.2167,20.18,24,0,4.63,DZ,1711935240
14,saint-philippe,-21.3585,55.7679,26.77,88,100,3.85,RE,1711935241
15,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,88,100,6.0,RU,1711935241
16,port lincoln,-34.7333,135.8667,19.29,76,98,7.41,AU,1711935192
17,ha'il,27.5219,41.6907,15.01,82,0,1.03,SA,1711935241
18,port elizabeth,-33.918,25.5701,20.16,83,0,7.2,ZA,1711935241
19,stanley,54.868,-1.6985,5.71,93,75,5.66,GB,1711935242
20,hamilton,39.1834,-84.5333,17.63,83,100,3.6,US,1711935147
21,port-aux-francais,-49.35,70.2167,4.94,80,100,9.49,TF,1711935242
22,klyuchi,52.2667,79.1667,2.03,74,100,4.15,RU,1711935242
23,prince rupert,54.3161,-130.3201,8.05,71,20,8.23,CA,1711935125
24,bilibino,68.0546,166.4372,-22.22,73,28,0.95,RU,1711935242
25,olonkinbyen,70.9221,-8.7187,-7.9,70,100,8.85,SJ,1711935243
26,toliara,-23.35,43.6667,24.72,73,0,6.87,MG,1711935243
27,valparaiso,-33.0393,-71.6273,19.71,53,0,0.0,CL,1711935002
28,hermanus,-34.4187,19.2345,16.0,77,11,6.43,ZA,1711935243
